date,project,volume
2023-06-14,binance,7317957225.079857
2023-06-15,binance,7663256435.966138
2023-06-16,binance,7217535698.612737
2023-06-17,binance,6854880462.044061
2023-06-18,binance,3888825321.226807
2023-06-19,binance,3750851294.838474
2023-06-20,binance,5836971577.192657
2023-06-21,binance,9681946525.686749
2023-06-22,binance,13570568853.207914
2023-06-23,binance,9022833861.524412
2023-06-24,binance,11803419124.37995
2023-06-25,binance,7446426463.50132
2023-06-26,binance,7112255740.701324
2023-06-27,binance,8825199206.534239
2023-06-28,binance,8234381256.051967
2023-06-29,binance,6812876332.055036
2023-06-30,binance,8209283734.399861
2023-07-01,binance,13036915027.271835
2023-07-02,binance,5264290985.358364
2023-07-03,binance,6185874540.567473
2023-07-04,binance,9451466184.191608
2023-07-05,binance,6214415048.495707
2023-07-06,binance,7646785749.699146
2023-07-07,binance,11072693961.2698
2023-07-08,binance,5600712292.070952
2023-07-09,binance,3807419651.580053
2023-07-10,binance,4664850729.04526
2023-07-11,binance,7435009171.413793
2023-07-12,binance,5971468371.628618
2023-07-13,binance,7048954913.59333
2023-07-14,binance,17455206400.55548
2023-07-15,binance,11846274387.554556
2023-07-16,binance,5542865137.57758
2023-07-17,binance,5340386759.945991
2023-07-18,binance,7639041351.784965
2023-07-19,binance,7244957899.433819
2023-07-20,binance,6204197766.295192
2023-07-21,binance,7834034515.892335
2023-07-22,binance,4941758530.17173
2023-07-23,binance,4043958558.9828434
2023-07-24,binance,4901331690.245867
2023-07-25,binance,7527981483.247233
2023-07-26,binance,5384142823.522801
2023-07-27,binance,6502988194.268348
2023-07-28,binance,5792394536.183818
2023-07-29,binance,4887546292.591194
2023-07-30,binance,3089356653.746715
2023-07-31,binance,5392759939.472168
2023-08-01,binance,7178316441.842595
2023-08-02,binance,9507574650.49377
2023-08-03,binance,7177260763.024791
2023-08-04,binance,6064573695.909329
2023-08-05,binance,5569840592.945856
2023-08-06,binance,3816225509.222496
2023-08-07,binance,4179012018.67122
2023-08-08,binance,7044180589.911341
2023-08-09,binance,8127116236.166609
2023-08-10,binance,6691598551.542544
2023-08-11,binance,5066556262.769897
2023-08-12,binance,4182462179.319308
2023-08-13,binance,2535300687.9202867
2023-08-14,binance,4654010786.318019
2023-08-15,binance,5674856877.170589
2023-08-16,binance,7290450986.920821
2023-08-17,binance,7887868384.752829
2023-08-18,binance,14592973112.614016
2023-08-19,binance,8344214810.765945
2023-08-20,binance,4392392079.46037
2023-08-21,binance,4053521463.5349536
2023-08-22,binance,5811357240.61684
2023-08-23,binance,6826626644.99811
2023-08-24,binance,6433239949.27938
2023-08-25,binance,5486855507.01097
2023-08-26,binance,4671678132.048264
2023-08-27,binance,1984742895.5765424
2023-08-28,binance,2934732025.606384
2023-08-29,binance,4431435352.907588
2023-08-30,binance,11360574745.072405
2023-08-31,binance,5707561001.93268
2023-09-01,binance,7671089789.301994
2023-09-02,binance,6908708834.789236
2023-09-03,binance,3756897853.1691456
2023-09-04,binance,4074124610.5151567
2023-09-05,binance,4940780595.85293
2023-09-06,binance,5122414228.672099
2023-09-07,binance,5405768106.023365
2023-09-08,binance,4779106222.355326
2023-09-09,binance,3654534055.909915
2023-09-10,binance,2550554340.5073776
2023-09-11,binance,3187842800.8823943
2023-09-12,binance,6345083858.0516
2023-09-13,binance,5014254511.761422
2023-09-14,binance,4740591702.1107
2023-09-15,binance,4363595814.903348
2023-09-16,binance,4457911538.25999
2023-09-17,binance,2859496021.357016
2023-09-18,binance,3097520081.1882024
2023-09-19,binance,4972551281.176263
2023-09-20,binance,4872991523.174434
2023-09-21,binance,4719960307.234994
2023-09-22,binance,4603467174.7239895
2023-09-23,binance,3179869506.170564
2023-09-24,binance,2017486222.3127973
2023-09-25,binance,3497215235.565264
2023-09-26,binance,3590848573.001472
2023-09-27,binance,3409970324.216067
2023-09-28,binance,5453874079.388192
2023-09-29,binance,5911868285.270773
2023-09-30,binance,4420384648.72102
2023-10-01,binance,3298149318.1294823
2023-10-02,binance,5386857149.61563
2023-10-03,binance,7152897152.924742
2023-10-04,binance,5502815472.915999
2023-10-05,binance,4610134387.8023815
2023-10-06,binance,4963997479.182926
2023-10-07,binance,5498119747.548393
2023-10-08,binance,3269480915.461041
2023-10-09,binance,3581490302.0157704
2023-10-10,binance,5908736590.113126
2023-10-11,binance,6009665787.162693
2023-10-12,binance,4963340036.430264
2023-10-13,binance,4344846097.148496
2023-10-14,binance,4228968142.6432295
2023-10-15,binance,2550816468.160657
2023-10-16,binance,4777671055.667669
2023-10-17,binance,9041460527.76898
2023-10-18,binance,6155916085.593596
2023-10-19,binance,4999508694.200802
2023-10-20,binance,6539440386.258258
2023-10-21,binance,6603826773.700449
2023-10-22,binance,5739942779.398787
2023-10-23,binance,6510320011.7313385
2023-10-24,binance,15157065806.535074
2023-10-25,binance,13322789204.576609
2023-10-26,binance,10842795348.138058
2023-10-27,binance,9153852974.224474
2023-10-28,binance,7118084332.091707
2023-10-29,binance,4573851938.044889
2023-10-30,binance,5899458040.89063
2023-10-31,binance,8198680489.52518
2023-11-01,binance,8764499135.177242
2023-11-02,binance,12339381001.47714
2023-11-03,binance,9676526019.854769
2023-11-04,binance,7772575240.321352
2023-11-05,binance,5956109677.471259
2023-11-06,binance,7830045340.9393
2023-11-07,binance,8387715042.883592
2023-11-08,binance,9244865327.799349
2023-11-09,binance,9769987554.839567
2023-11-10,binance,19268706531.040104
2023-11-11,binance,14593339063.805227
2023-11-12,binance,10988839878.835531
2023-11-13,binance,10408142271.379854
2023-11-14,binance,13317411822.854244
2023-11-15,binance,13245355395.706465
2023-11-16,binance,13894697464.248898
2023-11-17,binance,14490673811.167978
2023-11-18,binance,10993866589.664576
2023-11-19,binance,7037193274.021969
2023-11-20,binance,7253306218.938606
2023-11-21,binance,10852242653.807636
2023-11-22,binance,14198942508.859406
2023-11-23,binance,10060302793.055174
2023-11-24,binance,6979633041.159878
2023-11-25,binance,10218343721.99448
2023-11-26,binance,5325423464.246864
2023-11-27,binance,8883262566.214155
2023-11-28,binance,10590238660.587076
2023-11-29,binance,9564813015.281605
2023-11-30,binance,9464753853.157726
2023-12-01,binance,7993301717.81006
2023-12-02,binance,8470678480.182901
2023-12-03,binance,8596065519.78855
2023-12-04,binance,11080908529.756824
2023-12-05,binance,17048905933.64627
2023-12-06,binance,18390624738.77107
2023-12-07,binance,15504776681.227036
2023-12-08,binance,15784769704.636358
2023-12-09,binance,14042855085.814064
2023-12-10,binance,11823492343.972826
2023-12-11,binance,14717113922.01723
2023-12-12,binance,17634384451.39115
2023-12-13,binance,15144748543.424976
2023-12-14,binance,13754299477.379889
2023-12-15,binance,14250686133.03518
2023-12-16,binance,12343230822.30237
2023-12-17,binance,10318229464.950949
2023-12-18,binance,11577196478.810104
2023-12-19,binance,14964939147.652584
2023-12-20,binance,13696956379.673183
2023-12-21,binance,16171313100.801607
2023-12-22,binance,15564169536.444555
2023-12-23,binance,14705804767.876848
2023-12-24,binance,11226153378.592655
2023-12-25,binance,13265440353.38612
2023-12-26,binance,15974787533.817
2023-12-27,binance,17543450528.967773
2023-12-28,binance,18402366824.3865
2023-12-29,binance,15374153666.934813
2023-12-30,binance,13525667283.711971
2023-12-31,binance,8717083023.841354
2024-01-01,binance,11050747660.662256
2024-01-02,binance,12349794778.572563
2024-01-03,binance,24097403331.19607
2024-01-04,binance,25800997198.254128
2024-01-05,binance,18278658243.29024
2023-01-07,bingx,340824484.45250326
2023-01-08,bingx,186741217.9741332
2023-01-09,bingx,369553447.88422567
2023-01-10,bingx,509174028.87444943
2023-01-11,bingx,358355774.68025213
2023-01-12,bingx,462388749.6475092
2023-01-13,bingx,672314747.7149049
2023-01-14,bingx,728385296.1348808
